Title,Company,Company Location,Job Location,Experience Years,Duration of Job Title,Job Type,Link
Data Analyst,Venus Hiring -,"Toronto,Canada",On-site,1 - 5,2 daysago,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Gaknn1pTbBFC-Data-Analyst-Venus-Hiring-Toronto-Canada
Data Analyst Manager,WUZZUF -,"Maadi,Cairo,Egypt",Hybrid,7 - 15,20 hoursago,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/78pUnInNIct1-Data-Analyst-Manager-WUZZUF-Cairo-Egypt
Data Analyst,ECC Group -,"Nasr City,Cairo,Egypt",On-site,5 - 7,2 daysago,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/gg0dtDY5TNYi-Data-Analyst-ECC-Group-Cairo-Egypt
Junior Data Analyst,Confidential -,"Cairo,Egypt",On-site,2 - 4,5 daysago,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/kl5VSf950AsV-Junior-Data-Analyst-Cairo-Egypt
Data Analyst,Luminar -,"New Cairo,Cairo,Egypt",Remote,2 - 5,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/cZhEcNziXcWL-Data-Analyst-Luminar-Cairo-Egypt
Commercial Specialist ( Junior Data Analyst ),realme -,"Nasr City,Cairo,Egypt",On-site,N/A,4 daysago,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/4xE6REC3FbS2-Commercial-Specialist-Junior-Data-Analyst-realme-Cairo-Egypt
Data Analyst,Dayra Market  -,"Maadi,Cairo,Egypt",On-site,1 - 7,7 daysago,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/gklPV6jdYskE-Data-Analyst-Dayra-Market-Cairo-Egypt
Data Analyst,London International Patient Services -,"Heliopolis,Cairo,Egypt",Hybrid,2 - 3,3 daysago,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/s5BzCzLsEb7k-Data-Analyst-London-International-Patient-Services-Cairo-Egypt
Data Analyst/ Mailer,Options -,"Mohandessin,Giza,Egypt",Remote,1 - 5,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/T6fNSbbdiBgt-Data-Analyst-Mailer-Options-Giza-Egypt
Senior Data Analyst,United Distributors  -,"Zamalek,Cairo,Egypt",On-site,3 - 5,N/A,Full Time,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/YzbK275t52HT-Senior-Data-Analyst-United-Distributors-Cairo-Egypt
